studentID,subject,height
682607,psychology,162.67
939798,psychology,165.9
566007,psychology,163.8
964676,psychology,163.02
931892,psychology,162.98
643882,psychology,162.87
603007,psychology,163.42
146442,psychology,161.65
343113,psychology,162.28
825304,psychology,161.76
256717,psychology,163.14
862701,geography,163.21
699314,geography,169.02
260729,geography,168.16
361235,geography,168.08
164989,geography,166.17
553329,geography,170.13
901115,geography,166.04
772639,geography,171.1
430120,geography,167.71
448619,geography,167.13
363372,geography,169.18
